,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
2,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
3,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
4,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
5,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
8,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
10,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
11,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
15,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
16,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
20,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
21,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
22,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
23,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
25,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
26,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
28,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
29,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
33,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
34,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
40,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
48,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
49,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
56,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
64,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
65,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
66,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
70,6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
73,6685000,6600,2,2,4,yes,no,yes,no,no,0,yes,furnished
74,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
78,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
81,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
82,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
86,6510000,6670,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
87,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
88,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
91,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
93,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
96,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
97,6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
99,6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
