price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
6650000,6000,3,2,3,yes,yes,no,no,yes,0,no,furnished
6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
6405000,4800,3,2,4,yes,yes,no,no,yes,0,no,furnished
6300000,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
6265000,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
6195000,6350,3,2,3,yes,yes,no,no,yes,0,no,furnished
6195000,5500,3,2,1,yes,yes,yes,no,no,2,yes,furnished
6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
6090000,6600,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
6020000,6800,2,1,1,yes,yes,yes,no,no,2,no,furnished
6020000,8000,3,1,1,yes,yes,yes,no,yes,2,yes,semi-furnished
6020000,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
5950000,3700,4,1,2,yes,yes,no,no,yes,0,no,furnished
5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
5873000,5500,3,1,3,yes,yes,no,no,yes,1,no,furnished
5866000,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
5810000,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
5740000,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
5652500,6660,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
5600000,5136,3,1,2,yes,yes,yes,no,yes,0,yes,unfurnished
5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
5523000,6900,3,1,1,yes,yes,yes,no,no,0,yes,semi-furnished
5495000,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
5460000,3150,3,2,1,yes,yes,yes,no,yes,0,no,furnished
5460000,6210,4,1,4,yes,yes,no,no,yes,0,no,furnished
5460000,6100,3,1,3,yes,yes,no,no,yes,0,yes,semi-furnished
5460000,6600,4,2,2,yes,yes,yes,no,no,0,yes,semi-furnished
5425000,6825,3,1,1,yes,yes,yes,no,yes,0,yes,semi-furnished
5390000,6710,3,2,2,yes,yes,yes,no,no,1,yes,furnished
5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
5250000,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
5250000,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
5250000,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
5229000,7085,3,1,1,yes,yes,yes,no,no,2,yes,semi-furnished
5215000,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
5110000,3000,3,2,2,yes,yes,yes,no,no,0,no,furnished
5040000,3540,2,1,1,no,yes,yes,no,no,0,no,semi-furnished
5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
5040000,6600,3,1,1,yes,yes,yes,no,no,0,yes,furnished
5033000,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
5005000,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
4900000,4095,3,1,2,no,yes,yes,no,yes,0,no,semi-furnished
4900000,4770,3,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4900000,5800,2,1,1,yes,yes,yes,no,yes,0,no,semi-furnished
4900000,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
4690000,9667,4,2,2,yes,yes,yes,no,no,1,no,semi-furnished
4620000,4160,3,1,1,yes,yes,yes,no,yes,0,no,unfurnished
4620000,5680,3,1,2,yes,yes,no,no,yes,1,no,semi-furnished
4620000,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
4543000,4100,2,2,1,yes,yes,yes,no,no,0,no,semi-furnished
4543000,4990,4,2,2,yes,yes,yes,no,no,0,yes,furnished
4445000,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
4340000,4075,3,1,1,yes,yes,yes,no,no,2,no,semi-furnished
4270000,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
3395000,4785,3,1,2,yes,yes,yes,no,yes,1,no,furnished
3290000,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
3150000,3986,2,2,1,no,yes,yes,no,no,1,no,unfurnished
3080000,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
2660000,3630,3,3,2,no,yes,no,no,no,0,no,unfurnished
2450000,3240,2,1,1,no,yes,no,no,no,1,no,unfurnished
2450000,3500,2,1,1,yes,yes,no,no,no,0,no,unfurnished
