,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
2,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
3,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
5,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
8,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
10,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
12,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
14,9240000,7800,3,2,2,yes,no,no,no,no,0,yes,semi-furnished
16,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
19,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
25,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
26,8463000,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
29,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
32,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
36,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
40,7875000,6550,3,1,2,yes,no,yes,no,yes,0,yes,furnished
41,7840000,6360,3,2,4,yes,no,no,no,yes,0,yes,furnished
47,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
49,7420000,7440,3,2,1,yes,yes,yes,no,yes,0,yes,semi-furnished
50,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
56,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
57,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
63,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
64,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
69,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
70,6790000,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
