,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
0,13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
1,12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
2,12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
3,12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
4,11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
5,10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
6,10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
8,9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9,9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,unfurnished
10,9800000,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
11,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
12,9310000,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
13,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
15,9100000,6000,4,1,2,yes,no,yes,no,no,2,no,semi-furnished
16,9100000,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
17,8960000,8500,3,2,4,yes,no,no,no,yes,2,no,furnished
18,8890000,4600,3,2,2,yes,yes,no,no,yes,2,no,furnished
19,8855000,6420,3,2,2,yes,no,no,no,yes,1,yes,semi-furnished
20,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
21,8680000,7155,3,2,1,yes,yes,yes,no,yes,2,no,unfurnished
22,8645000,8050,3,1,1,yes,yes,yes,no,yes,1,no,furnished
23,8645000,4560,3,2,2,yes,yes,yes,no,yes,1,no,furnished
24,8575000,8800,3,2,2,yes,no,no,no,yes,2,no,furnished
25,8540000,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
27,8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
28,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
29,8400000,5500,4,2,2,yes,no,yes,no,yes,1,yes,semi-furnished
30,8400000,7475,3,2,4,yes,no,no,no,yes,2,no,unfurnished
31,8400000,7000,3,1,4,yes,no,no,no,yes,2,no,semi-furnished
32,8295000,4880,4,2,2,yes,no,no,no,yes,1,yes,furnished
33,8190000,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
34,8120000,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
35,8080940,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
36,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
37,7980000,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
38,7962500,6000,3,1,4,yes,yes,no,no,yes,2,no,unfurnished
39,7910000,6000,4,2,4,yes,no,no,no,yes,1,no,semi-furnished
42,7700000,6480,3,2,4,yes,no,no,no,yes,2,no,unfurnished
43,7700000,6000,4,2,4,yes,no,no,no,no,2,no,semi-furnished
44,7560000,6000,4,2,4,yes,no,no,no,yes,1,no,furnished
46,7525000,6000,3,2,4,yes,no,no,no,yes,1,no,furnished
47,7490000,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
48,7455000,4300,3,2,2,yes,no,yes,no,no,1,no,unfurnished
50,7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
51,7420000,6325,3,1,4,yes,no,no,no,yes,1,no,unfurnished
52,7350000,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
53,7350000,5150,3,2,4,yes,no,no,no,yes,2,no,semi-furnished
54,7350000,6000,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
55,7350000,6000,3,1,2,yes,no,no,no,yes,1,no,unfurnished
56,7343000,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
57,7245000,9000,4,2,4,yes,yes,no,no,yes,1,yes,furnished
58,7210000,7680,4,2,4,yes,yes,no,no,yes,1,no,semi-furnished
59,7210000,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
60,7140000,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
61,7070000,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
62,7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
63,7035000,6360,4,2,3,yes,no,no,no,yes,2,yes,furnished
64,7000000,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
65,6930000,8880,3,2,2,yes,no,yes,no,yes,1,no,furnished
66,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
67,6895000,7700,3,2,1,yes,no,no,no,no,2,no,unfurnished
68,6860000,6000,3,1,1,yes,no,no,no,yes,1,no,furnished
69,6790000,12090,4,2,2,yes,no,no,no,no,2,yes,furnished
74,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
78,6650000,5700,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
80,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
81,6615000,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
82,6615000,10500,3,2,1,yes,no,yes,no,yes,1,yes,furnished
84,6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
87,6475000,3960,3,1,1,yes,no,yes,no,no,2,no,semi-furnished
88,6475000,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
89,6440000,8580,5,3,2,yes,no,no,no,no,2,no,furnished
91,6419000,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
93,6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
94,6300000,6000,4,2,4,yes,no,no,no,no,1,no,semi-furnished
95,6300000,4100,3,2,3,yes,no,no,no,yes,2,no,semi-furnished
96,6300000,9000,3,1,1,yes,no,yes,no,no,1,yes,furnished
