,price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
11,9681000,6000,4,3,2,yes,yes,yes,yes,no,2,no,semi-furnished
13,9240000,3500,4,2,2,yes,no,no,yes,no,2,no,furnished
20,8750000,4320,3,1,2,yes,no,yes,yes,no,2,no,semi-furnished
28,8400000,7950,5,2,2,yes,no,yes,yes,no,2,no,unfurnished
36,8043000,7482,3,2,3,yes,no,no,yes,no,1,yes,furnished
66,6930000,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
74,6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
75,6650000,4260,4,2,2,yes,no,no,yes,no,0,no,semi-furnished
80,6629000,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
84,6510000,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
109,6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
143,5600000,4800,5,2,3,no,no,yes,yes,no,0,no,unfurnished
165,5383000,6450,3,2,1,yes,yes,yes,yes,no,0,no,unfurnished
196,4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
270,4340000,4500,3,2,3,yes,no,no,yes,no,1,no,furnished
298,4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
321,4025000,3630,3,2,2,yes,no,no,yes,no,2,no,semi-furnished
334,3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
350,3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
363,3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
364,3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
378,3640000,2275,3,1,3,yes,no,no,yes,yes,0,yes,semi-furnished
464,3080000,4500,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
490,2835000,4350,3,1,2,no,no,no,yes,no,1,no,unfurnished
530,2240000,1950,3,1,1,no,no,no,yes,no,0,no,unfurnished
